lon,lat,course_id,track_seg_point_id,ele,dis
141.30531,38.45812,2,0,2.9,0
141.30499,38.4579,2,1,3,0.037078283
141.3049,38.45784,2,2,3,0.0473702
141.30441,38.45747,2,3,3,0.106641271
141.30378,38.45699,2,4,2.8,0.183178725
141.3031,38.45649,2,5,2,0.264400532
141.3028799,38.45632,2,6,1.3,0.291319545
141.30277,38.45624,2,7,1,0.304385068
141.30246,38.45601,2,8,0.5,0.341569905
141.30231,38.45588,2,9,0.5,0.36105208
141.30221,38.4558,2,10,0.3,0.373500102
141.30221,38.4558,2,11,0.3,0.373500102
141.30212,38.4557,2,12,0.2,0.38710374
141.3023399,38.45565,2,13,0.8,0.407042515
141.30286,38.45553,2,14,1.8,0.454255446
141.30318,38.45546,2,15,2,0.48318647
141.30352,38.45538,2,16,1.6,0.514099861
141.30374,38.4553299,2,17,1,0.534050182
141.30418,38.45524,2,18,-0.1,0.573646321
141.30419,38.45523,2,19,-0.1,0.575058646
141.30437,38.45519,2,20,0.1,0.591351242
141.30453,38.45516,2,21,0.3,0.605677244
141.30461,38.45515,2,22,0.4,0.612731539
141.3047599,38.45512,2,23,0.7,0.626203809
141.30493,38.45509,2,24,1,0.641386503
141.30505,38.45507,2,25,1.2,0.652069709
141.30515,38.45505,2,26,1.6,0.661056856
141.3055,38.455,2,27,2.8,0.692036597
141.30554,38.45499,2,28,2.9,0.695692845
141.30573,38.45496,2,29,3.5,0.71257034
141.30604,38.4549,2,30,2.9,0.740376346
141.30607,38.45489,2,31,2.8,0.743215456
141.30629,38.45485,2,32,2,0.762881887
141.3064,38.45483,2,33,1.7,0.772715107
141.30663,38.45478,2,34,1.1,0.793500144
141.3068199,38.45474,2,35,1.2,0.810623767
141.30706,38.45469,2,36,1.4,0.832257535
141.30752,38.45458,2,37,1.5,0.87413884
141.3076199,38.45456,2,38,1.7,0.883117607
141.30777,38.45452,2,39,1.8,0.896923941
141.30779,38.45452,2,40,1.9,0.898665483
141.30779,38.45452,2,41,1.9,0.898665483
141.30808,38.45445,2,42,2,0.925090234
141.30823,38.45441,2,43,1.9,0.938888344
141.30844,38.45435,2,44,1.5,0.958353639
141.30866,38.45429,2,45,0.9,0.978639171
141.30895,38.4542,2,46,0.2,1.005802338
141.30914,38.45414,2,47,0,1.023641612
141.30924,38.4540999,2,48,0.1,1.033424609
141.30947,38.45402,2,49,0.2,1.055334636
141.30965,38.45395,2,50,0.4,1.072834903
141.30979,38.45389,2,51,0.6,1.086732009
141.30994,38.45383,2,52,0.8,1.101398952
141.3101299,38.45375,2,53,1.9,1.120175924
141.31043,38.45362,2,54,4.2,1.150039717
141.3105799,38.45355,2,55,5.3,1.165237308
141.31083,38.45343,2,56,7,1.190778267
141.31108,38.45332,2,57,5.7,1.215748748
141.31161,38.4530699,2,58,3.1,1.269631678
141.31265,38.4525999,2,59,2.6,1.374191771
